FactID,AttritionFlag,MonthlyIncome,YearsAtCompany,PerformanceRating,DistanceFromHome,DepartmentName,JobRoleName,Age,Gender,MaritalStatus,EducationField,RiskLevel
1628,0,3346.00,1,4,9,Research & Development,Research Scientist,58,Female,Married,Medical,Medium
1540,1,3388.00,1,3,9,Research & Development,Research Scientist,36,Male,Married,Medical,Medium
1509,0,3419.00,1,3,5,Research & Development,Research Scientist,36,Female,Married,Life Sciences,Medium
2162,0,3617.00,1,3,9,Research & Development,Research Scientist,40,Male,Divorced,Medical,Medium
2503,1,3646.00,1,4,2,Research & Development,Laboratory Technician,39,Female,Single,Life Sciences,Medium
1769,0,3688.00,1,3,18,Research & Development,Laboratory Technician,36,Male,Married,Life Sciences,Medium
1757,1,3161.00,1,4,24,Research & Development,Laboratory Technician,44,Male,Divorced,Life Sciences,Medium
1713,0,3072.00,1,3,19,Research & Development,Research Scientist,41,Male,Divorced,Life Sciences,Medium
2586,0,2972.00,1,3,7,Research & Development,Research Scientist,34,Male,Single,Medical,Medium
2160,1,2973.00,1,3,4,Research & Development,Laboratory Technician,20,Male,Single,Technical Degree,Medium
1572,0,2956.00,1,3,1,Research & Development,Research Scientist,32,Male,Single,Life Sciences,Medium
2783,1,2956.00,1,3,18,Human Resources,Human Resources,31,Male,Married,Human Resources,Medium
2380,0,2994.00,1,3,25,Research & Development,Research Scientist,19,Female,Single,Life Sciences,Medium
1518,0,3022.00,1,4,19,Research & Development,Research Scientist,37,Male,Married,Life Sciences,Medium
1545,0,3038.00,1,3,6,Research & Development,Laboratory Technician,36,Female,Married,Life Sciences,Medium
2030,0,3057.00,1,3,2,Research & Development,Research Scientist,38,Male,Married,Medical,Medium
1573,1,2926.00,1,3,6,Research & Development,Laboratory Technician,20,Female,Single,Life Sciences,Medium
2820,0,2933.00,1,3,1,Research & Development,Research Scientist,26,Female,Married,Life Sciences,Medium
1488,0,2935.00,1,3,16,Research & Development,Laboratory Technician,22,Male,Divorced,Medical,Medium
2808,0,2856.00,1,3,3,Sales,Sales Representative,28,Female,Married,Medical,High
2862,0,2858.00,1,3,1,Sales,Sales Representative,38,Male,Single,Life Sciences,High
1834,1,2851.00,1,3,5,Sales,Sales Representative,33,Female,Single,Marketing,High
2850,1,2863.00,1,3,22,Human Resources,Human Resources,27,Female,Married,Human Resources,High
2321,0,2827.00,1,3,2,Sales,Sales Representative,32,Female,Divorced,Life Sciences,High
1589,0,2835.00,1,4,3,Research & Development,Laboratory Technician,36,Female,Divorced,Life Sciences,High
1958,0,2836.00,1,3,1,Research & Development,Research Scientist,20,Female,Single,Life Sciences,High
1841,1,2716.00,1,3,12,Sales,Sales Representative,21,Female,Single,Life Sciences,High
1729,0,2723.00,1,3,1,Research & Development,Research Scientist,51,Male,Married,Life Sciences,High
2451,1,2785.00,1,3,2,Sales,Sales Representative,31,Female,Single,Life Sciences,High
2127,1,2795.00,1,4,25,Research & Development,Laboratory Technician,32,Male,Single,Life Sciences,High
2800,0,2804.00,1,3,6,Human Resources,Human Resources,29,Male,Married,Medical,High
2017,0,2642.00,1,3,10,Sales,Sales Representative,29,Male,Single,Life Sciences,High
1477,0,2670.00,1,4,3,Research & Development,Laboratory Technician,59,Female,Married,Medical,High
2742,1,2679.00,1,3,7,Sales,Sales Representative,21,Male,Single,Marketing,High
1478,0,2693.00,1,4,24,Research & Development,Laboratory Technician,30,Male,Divorced,Life Sciences,High
2134,1,2693.00,1,3,18,Research & Development,Research Scientist,21,Female,Single,Other,High
2057,0,2694.00,1,3,9,Research & Development,Laboratory Technician,24,Male,Divorced,Life Sciences,High
2605,0,2690.00,1,3,7,Research & Development,Laboratory Technician,35,Male,Married,Life Sciences,High
1893,1,2564.00,1,3,2,Human Resources,Human Resources,19,Male,Single,Technical Degree,High
1635,0,2566.00,1,3,3,Research & Development,Research Scientist,27,Male,Divorced,Medical,High
2324,0,2552.00,1,4,9,Research & Development,Research Scientist,19,Male,Single,Life Sciences,High
2441,0,2534.00,1,3,11,Sales,Sales Representative,27,Female,Married,Medical,High
2372,0,2559.00,1,3,2,Research & Development,Laboratory Technician,48,Male,Single,Technical Degree,High
2377,0,2585.00,1,3,20,Research & Development,Research Scientist,34,Female,Married,Technical Degree,High
2271,1,2596.00,1,3,1,Research & Development,Laboratory Technician,28,Male,Divorced,Medical,High
2202,1,2600.00,1,3,11,Research & Development,Research Scientist,20,Female,Single,Medical,High
2530,0,2404.00,1,3,7,Sales,Sales Representative,35,Male,Married,Life Sciences,High
2898,0,2406.00,1,3,1,Research & Development,Laboratory Technician,40,Male,Married,Life Sciences,High
2607,1,2408.00,1,3,24,Research & Development,Laboratory Technician,28,Male,Married,Medical,High
2154,1,2413.00,1,3,19,Sales,Sales Representative,25,Male,Married,Marketing,High
2733,1,2437.00,1,3,17,Research & Development,Research Scientist,43,Male,Married,Technical Degree,High
2803,1,2439.00,1,4,24,Research & Development,Research Scientist,29,Male,Single,Life Sciences,High
2575,0,2451.00,1,3,9,Research & Development,Research Scientist,29,Male,Married,Life Sciences,High
2171,1,2479.00,1,4,2,Research & Development,Research Scientist,58,Male,Single,Technical Degree,High
1501,0,2496.00,1,3,2,Research & Development,Laboratory Technician,33,Male,Single,Medical,High
2810,1,2472.00,1,4,7,Research & Development,Research Scientist,22,Male,Single,Life Sciences,High
1852,0,2476.00,1,3,2,Sales,Sales Representative,30,Male,Married,Technical Degree,High
1543,0,2501.00,1,3,1,Research & Development,Research Scientist,31,Male,Single,Medical,High
2313,1,2515.00,1,3,12,Research & Development,Laboratory Technician,28,Female,Married,Life Sciences,High
1934,1,2340.00,1,3,24,Research & Development,Laboratory Technician,26,Male,Single,Technical Degree,High
1512,0,2341.00,1,3,2,Research & Development,Laboratory Technician,27,Female,Divorced,Life Sciences,High
2396,0,2372.00,1,3,7,Research & Development,Research Scientist,42,Female,Married,Medical,High
2268,1,2377.00,1,4,21,Research & Development,Laboratory Technician,26,Male,Divorced,Medical,High
2213,0,2380.00,1,3,9,Research & Development,Laboratory Technician,50,Male,Married,Life Sciences,High
2131,1,2380.00,1,3,2,Research & Development,Laboratory Technician,58,Male,Divorced,Life Sciences,High
2744,1,2398.00,1,3,8,Research & Development,Laboratory Technician,22,Female,Married,Medical,High
2141,0,2318.00,1,3,4,Research & Development,Research Scientist,27,Female,Single,Life Sciences,High
2060,1,2319.00,1,3,1,Research & Development,Laboratory Technician,29,Female,Married,Life Sciences,High
2568,0,2296.00,1,3,21,Research & Development,Laboratory Technician,24,Male,Divorced,Technical Degree,High
1513,1,2293.00,1,3,25,Research & Development,Laboratory Technician,26,Male,Single,Life Sciences,High
1856,1,2285.00,1,4,4,Research & Development,Research Scientist,30,Male,Single,Technical Degree,High
2074,0,2274.00,1,3,2,Research & Development,Research Scientist,45,Female,Single,Life Sciences,High
1520,0,2269.00,1,3,8,Research & Development,Laboratory Technician,35,Male,Married,Life Sciences,High
1947,0,2127.00,1,4,17,Research & Development,Laboratory Technician,24,Male,Married,Other,High
2159,1,2121.00,1,3,21,Sales,Sales Representative,19,Male,Single,Other,High
1696,0,2177.00,1,3,3,Research & Development,Research Scientist,59,Male,Married,Life Sciences,High
2342,1,2210.00,1,3,17,Research & Development,Laboratory Technician,24,Female,Married,Life Sciences,High
2234,0,2220.00,1,3,10,Sales,Sales Representative,34,Female,Married,Life Sciences,High
2581,1,2074.00,1,3,2,Research & Development,Laboratory Technician,35,Female,Divorced,Life Sciences,High
1972,0,2083.00,1,4,3,Research & Development,Research Scientist,30,Female,Divorced,Medical,High
1504,1,2086.00,1,3,5,Sales,Sales Representative,39,Male,Married,Technical Degree,High
2335,1,2107.00,1,3,5,Research & Development,Research Scientist,41,Male,Divorced,Life Sciences,High
2729,0,2109.00,1,3,4,Research & Development,Research Scientist,29,Female,Divorced,Technical Degree,High
2532,0,2033.00,1,3,13,Sales,Sales Representative,24,Female,Married,Life Sciences,High
1951,1,2033.00,1,3,12,Sales,Sales Representative,30,Male,Married,Life Sciences,High
2589,0,2061.00,1,4,3,Research & Development,Research Scientist,26,Female,Married,Life Sciences,High
1511,0,1951.00,1,3,4,Research & Development,Laboratory Technician,35,Male,Divorced,Other,High
2909,1,1790.00,1,3,9,Sales,Sales Representative,23,Male,Married,Marketing,High
2363,1,1859.00,1,4,10,Research & Development,Research Scientist,19,Female,Single,Medical,High
2693,1,1555.00,1,3,22,Human Resources,Human Resources,24,Male,Married,Human Resources,High
2540,0,1563.00,1,3,1,Research & Development,Research Scientist,28,Male,Divorced,Life Sciences,High
2142,0,2008.00,1,3,10,Research & Development,Laboratory Technician,34,Male,Divorced,Life Sciences,High
2886,0,2008.00,1,3,1,Research & Development,Laboratory Technician,33,Male,Divorced,Medical,High
1984,1,1009.00,1,3,10,Research & Development,Research Scientist,20,Male,Single,Medical,High
1887,0,1702.00,1,4,2,Research & Development,Laboratory Technician,38,Male,Married,Life Sciences,High
1620,0,1483.00,1,3,3,Research & Development,Laboratory Technician,19,Female,Single,Medical,High
2381,0,1223.00,1,4,1,Research & Development,Research Scientist,23,Male,Married,Life Sciences,High
2487,1,1261.00,1,3,8,Research & Development,Research Scientist,31,Female,Single,Life Sciences,High
2523,0,1274.00,1,3,7,Research & Development,Research Scientist,30,Male,Divorced,Technical Degree,High
1986,0,1281.00,1,3,3,Research & Development,Laboratory Technician,35,Male,Married,Life Sciences,High
2483,1,1359.00,1,3,1,Sales,Sales Representative,31,Female,Single,Life Sciences,High
2676,1,1393.00,1,3,2,Research & Development,Laboratory Technician,32,Male,Single,Life Sciences,High
2248,1,1416.00,1,3,10,Research & Development,Laboratory Technician,21,Female,Single,Life Sciences,High
2235,0,1052.00,1,4,10,Sales,Sales Representative,28,Male,Married,Medical,High
2809,1,1081.00,1,3,9,Sales,Sales Representative,30,Male,Single,Medical,High
2836,1,1091.00,1,3,24,Sales,Sales Representative,29,Male,Single,Technical Degree,High
1648,1,1102.00,1,4,2,Research & Development,Laboratory Technician,19,Male,Single,Life Sciences,High
2382,1,1118.00,1,3,24,Sales,Sales Representative,25,Male,Single,Life Sciences,High
2873,0,1129.00,1,3,2,Research & Development,Laboratory Technician,31,Female,Divorced,Medical,High
1508,0,2014.00,2,3,2,Sales,Sales Representative,35,Female,Married,Marketing,High
1632,0,2024.00,2,3,9,Research & Development,Research Scientist,27,Male,Divorced,Medical,High
2286,0,2070.00,2,3,1,Research & Development,Research Scientist,21,Female,Single,Technical Degree,High
2598,0,2073.00,2,3,10,Research & Development,Research Scientist,23,Male,Married,Technical Degree,High
2133,1,2044.00,2,3,2,Sales,Sales Representative,20,Female,Single,Medical,High
2792,0,2105.00,2,3,9,Research & Development,Laboratory Technician,47,Female,Single,Life Sciences,High
2405,0,2096.00,2,3,1,Research & Development,Research Scientist,25,Female,Single,Medical,High
1912,0,2093.00,2,3,5,Research & Development,Laboratory Technician,42,Male,Married,Other,High
2882,0,2187.00,2,3,2,Human Resources,Human Resources,25,Female,Married,Human Resources,High
2716,0,2145.00,2,3,10,Human Resources,Human Resources,24,Male,Married,Medical,High
2899,0,2269.00,2,3,1,Sales,Sales Representative,32,Male,Married,Medical,High
1703,0,2267.00,2,3,6,Human Resources,Human Resources,59,Male,Married,Medical,High
1854,0,2244.00,2,3,11,Research & Development,Research Scientist,22,Female,Married,Medical,High
1650,0,2288.00,2,3,9,Research & Development,Laboratory Technician,38,Female,Single,Life Sciences,High
1505,1,2293.00,2,3,1,Research & Development,Research Scientist,24,Male,Married,Medical,High
2026,0,2297.00,2,3,10,Sales,Sales Representative,29,Male,Divorced,Marketing,High
2269,1,2313.00,2,4,25,Research & Development,Research Scientist,33,Male,Single,Medical,High
1631,0,2323.00,2,4,19,Research & Development,Research Scientist,22,Male,Married,Medical,High
2247,1,2323.00,2,3,9,Sales,Sales Representative,20,Female,Single,Marketing,High
1941,0,2400.00,2,3,24,Sales,Sales Representative,24,Male,Married,Medical,High
2907,0,2380.00,2,3,5,Sales,Sales Representative,21,Male,Single,Medical,High
2319,0,2376.00,2,3,4,Research & Development,Laboratory Technician,35,Male,Married,Other,High
2139,0,2377.00,2,3,9,Research & Development,Research Scientist,28,Female,Divorced,Medical,High
2409,0,2372.00,2,3,23,Research & Development,Research Scientist,58,Male,Divorced,Life Sciences,High
2784,1,2335.00,2,3,13,Human Resources,Human Resources,29,Male,Divorced,Human Resources,High
2225,0,2342.00,2,3,8,Sales,Sales Representative,33,Female,Single,Life Sciences,High
1886,1,2351.00,2,3,6,Sales,Sales Representative,34,Female,Divorced,Marketing,High
2103,0,2515.00,2,3,2,Research & Development,Research Scientist,42,Male,Single,Medical,High
2067,0,2506.00,2,3,1,Research & Development,Research Scientist,35,Female,Single,Life Sciences,High
2027,0,2450.00,2,3,6,Research & Development,Laboratory Technician,53,Male,Single,Life Sciences,High
2140,1,2404.00,2,4,6,Research & Development,Laboratory Technician,39,Male,Married,Medical,High
2302,1,2610.00,2,3,15,Research & Development,Laboratory Technician,31,Male,Married,Medical,High
2663,0,2587.00,2,3,16,Research & Development,Laboratory Technician,49,Female,Divorced,Medical,High
1599,0,2523.00,2,3,2,Research & Development,Laboratory Technician,22,Male,Married,Technical Degree,High
1848,0,2543.00,2,3,2,Research & Development,Research Scientist,36,Female,Married,Life Sciences,High
1892,1,2546.00,2,3,25,Research & Development,Research Scientist,29,Female,Married,Technical Degree,High
1783,0,2695.00,2,3,2,Research & Development,Research Scientist,31,Male,Divorced,Life Sciences,High
2193,0,2684.00,2,3,10,Research & Development,Research Scientist,38,Male,Married,Medical,High
2347,0,2678.00,2,3,21,Sales,Sales Representative,20,Male,Single,Marketing,High
2893,0,2660.00,2,3,11,Research & Development,Laboratory Technician,35,Male,Married,Medical,High
1484,0,2661.00,2,3,19,Research & Development,Laboratory Technician,34,Male,Divorced,Medical,High
1878,0,2654.00,2,4,10,Research & Development,Research Scientist,45,Male,Married,Life Sciences,High
1840,0,2657.00,2,3,9,Research & Development,Research Scientist,31,Male,Single,Life Sciences,High
2386,1,2625.00,2,4,10,Research & Development,Laboratory Technician,21,Female,Single,Life Sciences,High
2926,0,2809.00,2,3,2,Research & Development,Research Scientist,40,Male,Single,Life Sciences,High
2649,0,2783.00,2,3,2,Sales,Sales Representative,20,Female,Single,Medical,High
1763,0,2789.00,2,3,5,Sales,Sales Representative,31,Female,Divorced,Marketing,High
2289,0,2791.00,2,3,20,Sales,Sales Representative,31,Male,Married,Life Sciences,High
1969,0,2773.00,2,4,6,Research & Development,Research Scientist,22,Male,Married,Medical,High
2668,0,2728.00,2,3,9,Sales,Sales Representative,20,Male,Single,Life Sciences,High
2510,1,2742.00,2,3,9,Human Resources,Human Resources,34,Female,Married,Technical Degree,High
2351,0,2743.00,2,4,13,Research & Development,Laboratory Technician,32,Female,Married,Other,High
2018,1,2759.00,2,3,19,Research & Development,Research Scientist,42,Male,Divorced,Medical,High
2720,1,2760.00,2,3,9,Sales,Sales Representative,29,Female,Single,Marketing,High
2188,0,2811.00,2,3,16,Research & Development,Laboratory Technician,27,Female,Married,Technical Degree,High
2236,0,2821.00,2,3,3,Research & Development,Research Scientist,38,Male,Married,Other,High
1579,0,2889.00,2,3,7,Research & Development,Research Scientist,25,Male,Married,Medical,High
2113,0,2899.00,2,3,9,Sales,Sales Representative,38,Male,Married,Marketing,High
2888,0,3067.00,2,3,2,Sales,Sales Representative,31,Male,Married,Life Sciences,Medium
2327,0,3033.00,2,3,3,Research & Development,Laboratory Technician,20,Male,Single,Life Sciences,Medium
1717,0,2911.00,2,3,5,Research & Development,Research Scientist,33,Female,Married,Life Sciences,Medium
2623,0,3117.00,2,3,5,Research & Development,Research Scientist,21,Male,Single,Medical,Medium
2671,0,3195.00,2,3,1,Human Resources,Human Resources,44,Female,Divorced,Life Sciences,Medium
1701,0,3212.00,2,3,2,Research & Development,Laboratory Technician,52,Female,Single,Life Sciences,Medium
2507,1,3722.00,2,3,2,Research & Development,Laboratory Technician,31,Male,Married,Life Sciences,Medium
1522,1,3441.00,2,3,5,Research & Development,Laboratory Technician,28,Male,Single,Technical Degree,Medium
1475,0,3468.00,2,3,2,Research & Development,Laboratory Technician,27,Male,Married,Medical,Medium
2036,0,3505.00,2,3,10,Research & Development,Research Scientist,23,Male,Single,Medical,Medium
2052,0,3833.00,2,4,1,Research & Development,Laboratory Technician,30,Male,Married,Life Sciences,Medium
2400,0,3867.00,2,3,2,Research & Development,Laboratory Technician,28,Male,Married,Life Sciences,Medium
2010,0,3875.00,2,3,8,Sales,Sales Representative,50,Male,Married,Marketing,Medium
1914,1,3894.00,2,3,4,Research & Development,Laboratory Technician,22,Male,Single,Technical Degree,Medium
2806,0,3902.00,2,3,19,Research & Development,Research Scientist,39,Male,Divorced,Other,Medium
1528,0,4014.00,2,3,23,Research & Development,Laboratory Technician,35,Female,Married,Medical,Medium
2884,0,3977.00,2,3,2,Research & Development,Laboratory Technician,25,Male,Divorced,Other,Medium
2831,0,3978.00,2,3,4,Research & Development,Laboratory Technician,31,Female,Divorced,Medical,Medium
1876,1,4031.00,2,3,3,Research & Development,Laboratory Technician,25,Male,Married,Medical,Medium
2569,0,4069.00,2,3,8,Research & Development,Healthcare Representative,40,Male,Divorced,Life Sciences,Medium
2763,0,4127.00,2,3,20,Sales,Sales Executive,39,Male,Divorced,Life Sciences,Medium
1525,0,4157.00,2,3,23,Sales,Sales Executive,26,Female,Married,Marketing,Medium
2042,0,4364.00,2,3,1,Research & Development,Laboratory Technician,26,Female,Divorced,Life Sciences,Medium
2069,1,4382.00,2,3,2,Research & Development,Research Scientist,28,Male,Single,Medical,Medium
2206,0,4240.00,2,3,6,Research & Development,Healthcare Representative,48,Male,Single,Life Sciences,Medium
1646,0,4257.00,2,3,8,Research & Development,Research Scientist,56,Female,Divorced,Life Sciences,Medium
1671,0,4298.00,2,3,1,Research & Development,Manufacturing Director,27,Male,Married,Technical Degree,Medium
1603,1,4559.00,2,3,20,Sales,Sales Executive,31,Female,Married,Life Sciences,Medium
1996,1,4577.00,2,3,3,Sales,Sales Executive,24,Female,Single,Life Sciences,Medium
